Date,Ticker,Value,WTH Tax,Capital Gain,Banque,en CHF
6.4.2023,LEON.SW,CHF 20.00,CHF 7.00,CHF 20.00,Flow Bank,CHF 33.00
19.4.2023,SREN.SW,CHF 28.44,CHF 9.95,,Yuh,CHF 18.49
20.4.2023,ADEN.SW,CHF 18.50,CHF 6.48,CHF 6.50,Yuh,CHF 18.52
6.3.2024,ICAD.PA,€ 350.90,€ 87.73,,Swissquote,CHF 252.43
18.3.2024,ROG.SW,CHF 182.40,CHF 63.84,,Swissquote,CHF 118.56
3.4.2024,TIETO.HE,€ 147.00,€ 51.45,,Swissquote,CHF 93.41
12.4.2024,MOZN.SW,CHF 22.32,CHF 7.81,CHF 18.18,Swissquote,CHF 32.69
15.4.2024,VONN.SW,CHF 255.00,CHF 89.25,,Swissquote,CHF 165.75
18.4.2024,SREN.SW,CHF 248.62,CHF 87.02,,Swissquote,CHF 161.60
18.4.2024,ADEN.SW,CHF 40.00,CHF 14.00,,Swissquote,CHF 26.00
26.4.2024,BKE,US$ 38.50,US$ 11.55,,Swissquote,CHF 24.59
30.4.2024,CMBN.SW,CHF 260.00,CHF 91.00,,Swissquote,CHF 169.00
4.7.2024,ICAD.PA,€ 350.90,€ 87.73,,Swissquote,CHF 255.83
26.7.2024,BKE,US$ 38.50,US$ 11.50,,Swissquote,CHF 23.78
3.10.2024,TIETO.HE,€ 147.00,€ 51.45,,Swissquote,CHF 89.71
25.10.2024,BKE,US$ 38.50,US$ 11.55,,Swissquote,CHF 23.34
29.1.2025,BKE,US$ 38.50,US$ 11.55,,Swissquote,CHF 24.37
29.1.2025,BKE,US$ 275.00,US$ 82.50,,Swissquote,CHF 174.04
6.3.2025,ICAD.PA,€ 168.20,€ 42.05,,Swissquote,CHF 121.28
7.3.2025,ICAD.PA,€ 145.00,€ 0.00,,Swissquote,CHF 138.16
31.3.2025,ROG.SW,CHF 184.30,CHF 64.51,,Swissquote,CHF 119.79
4.4.2025,TIETO.HE,€ 134.00,€ 46.90,,Swissquote,CHF 82.64
8.4.2025,VONN.SW,CHF 255.00,CHF 89.25,,Swissquote,CHF 165.75
10.4.2025,TIETO.HE,€ 16.00,€ 5.60,,Swissquote,CHF 9.74
17.4.2025,SREN.SW,CHF 240.30,CHF 84.11,,Swissquote,CHF 156.19
25.4.2025,ADEN.SW,CHF 16.00,CHF 5.60,,Swissquote,CHF 10.40
29.4.2025,BKE,US$ 38.50,US$ 11.55,,Swissquote,CHF 22.13
30.4.2025,CMBN.SW,CHF 276.25,CHF 96.69,,Swissquote,CHF 179.56
7.5.2025,SSAB-B.ST,SEK 390.00,SEK 117.00,,Swissquote,CHF 23.53
29.7.2025,BKE,US$ 38.50,US$ 11.55,,Swissquote,CHF 21.64
